Порядковый номер,Идентификационный номер,Классификация очагов,Год обследования,"Периметр территории очагов,м","Площадь территории очагов,м2"
1653,2258,Действующий очаг,2009,39.1836014,61.740387
1654,2259,Действующий очаг,2009,80.4613419,145.5212097
1655,2260,Возникающий очаг,2009,107.7405396,196.7171936
1656,2261,Возникающий очаг,2009,74.5024033,133.9478302
1657,2262,Возникающий очаг,2009,22.6155357,29.0976715
1658,2263,Возникающий очаг,2009,84.3398132,153.2249756
1659,2264,Затухающий очаг,2009,217.5469971,419.3204651
1660,2265,Возникающий очаг,2009,106.4546356,198.0792999
1661,2266,Возникающий очаг,2009,87.7232208,159.0610504
1662,2267,Действующий очаг,2009,2450.9157715,4879.7817383
1663,2268,Действующий очаг,2009,53.7493744,90.9388504
1664,2269,Возникающий очаг,2009,57.9847374,100.6051102
1665,2270,Затухающий очаг,2009,84.1083221,152.0960999
1666,2271,Возникающий очаг,2009,79.5960922,143.855957
1667,2272,Действующий очаг,2009,57.3315125,99.1807556
1668,2273,Возникающий очаг,2009,34.8516273,54.0255737
1686,2274,Возникающий очаг,2009,15.8483744,15.6896858
1687,2275,Действующий очаг,2009,68.5053024,120.8750076
